"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1971","checkLocators","Smoke Test SauceDemo","Sat Sep 06 16:18:33 UTC 2025","passed","Sat Sep 06 16:18:35 UTC 2025","tests.LocatorsTest","chrome","tests.LocatorsTest","checkLocators"
"","997","Проверка добавления товара в корзину","Smoke Test SauceDemo","Sat Sep 06 16:18:44 UTC 2025","passed","Sat Sep 06 16:18:45 UTC 2025","tests.CartTest","firefox","tests.CartTest","checkCart"
